
Unique Stacks: 77
Top 10 Stacks by leaf sum:

Sum: 32451240
lvl   function                                                            count              sum
#0    #6                                                                      1       3717917100
#1    #5                                                                      1        194053860
#2    #5                                                                      2        194052100
#3    #5                                                                      4        194048740
#4    #5                                                                      8        194041880
#5    #5                                                                     16        194027500
#6    #5                                                                     32        193999180
#7    #5                                                                     64        193942260
#8    #5                                                                    128        193829600
#9    #5                                                                    256        193604100
#10   #5                                                                    512        193100040
#11   #5                                                                   1023        192189740
#12   #5                                                                   1982        189542880
#13   #5                                                                   3308        179665380
#14   #5                                                                   4120        150293560
#15   #5                                                                   2984         32451240

Sum: 32317060
lvl   function                                                            count              sum
#0    #6                                                                      1       3717917100
#1    #5                                                                      1        194053860
#2    #5                                                                      2        194052100
#3    #5                                                                      4        194048740
#4    #5                                                                      8        194041880
#5    #5                                                                     16        194027500
#6    #5                                                                     32        193999180
#7    #5                                                                     64        193942260
#8    #5                                                                    128        193829600
#9    #5                                                                    256        193604100
#10   #5                                                                    512        193100040
#11   #5                                                                   1023        192189740
#12   #5                                                                   1982        189542880
#13   #5                                                                   3308        179665380
#14   #5                                                                   4120        150293560
#15   #5                                                                   3520        100150740
#16   #5                                                                   2995         32317060

Sum: 20246400
lvl   function                                                            count              sum
#0    #6                                                                      1       3717917100
#1    #5                                                                      1        194053860
#2    #5                                                                      2        194052100
#3    #5                                                                      4        194048740
#4    #5                                                                      8        194041880
#5    #5                                                                     16        194027500
#6    #5                                                                     32        193999180
#7    #5                                                                     64        193942260
#8    #5                                                                    128        193829600
#9    #5                                                                    256        193604100
#10   #5                                                                    512        193100040
#11   #5                                                                   1023        192189740
#12   #5                                                                   1982        189542880
#13   #5                                                                   3308        179665380
#14   #5                                                                   4120        150293560
#15   #5                                                                   3520        100150740
#16   #5                                                                   2005         49275860
#17   #5                                                                   1836         20246400

Sum: 18499360
lvl   function                                                            count              sum
#0    #6                                                                      1       3717917100
#1    #5                                                                      1        194053860
#2    #5                                                                      2        194052100
#3    #5                                                                      4        194048740
#4    #5                                                                      8        194041880
#5    #5                                                                     16        194027500
#6    #5                                                                     32        193999180
#7    #5                                                                     64        193942260
#8    #5                                                                    128        193829600
#9    #5                                                                    256        193604100
#10   #5                                                                    512        193100040
#11   #5                                                                   1023        192189740
#12   #5                                                                   1982        189542880
#13   #5                                                                   3308        179665380
#14   #5                                                                   1703         18499360

Sum: 7497500
lvl   function                                                            count              sum
#0    #6                                                                      1       3717917100
#1    #5                                                                      1        194053860
#2    #5                                                                      2        194052100
